# s_m,x_m,y_m,trac_dir,kappa_radpm,vx_mps,dist_left_m,dist_right_m
17.899893,20.171553,8.335754,4.452168,-0.423134,3.676697,0.746997,1.102977
17.999893,20.143748,8.239706,4.408626,-0.447766,3.579411,0.789052,1.085663
18.099892,20.111689,8.144994,4.363212,-0.458778,3.534578,0.839031,1.060725
18.199891,20.075319,8.051852,4.316879,-0.467895,3.498646,0.897622,1.032679
18.299891,20.034633,7.960514,4.269637,-0.476922,3.398965,0.954428,1.001147
18.399890,19.989640,7.871220,4.221507,-0.485598,3.273186,0.995235,0.965641
18.499890,19.940366,7.784214,4.172539,-0.493637,3.129730,1.044841,0.925517
18.599889,19.886797,7.699784,4.120269,-0.560526,2.987341,1.105393,0.881809
18.699888,19.828579,7.618496,4.060105,-0.644068,2.849516,1.182012,0.837003
18.799888,19.765249,7.541130,3.991213,-0.734775,2.715975,1.263561,0.782904
18.899887,19.696412,7.468630,3.913014,-0.829451,2.583832,1.237887,0.723793
18.999887,19.621810,7.402084,3.825399,-0.921723,2.445261,1.228287,0.655353
19.099886,19.541464,7.342608,3.732417,-0.922358,2.444352,1.237880,0.556471
19.199885,19.455976,7.290792,3.640753,-0.912797,2.458135,1.267506,0.387394
19.299885,19.366116,7.246991,3.549477,-0.914554,2.455585,1.235357,0.376992
19.399884,19.272628,7.211590,3.457478,-0.927129,2.437552,1.178313,0.372231
19.499884,19.176264,7.185004,3.363723,-0.949472,2.406375,1.142235,0.377393
19.599883,19.077818,7.167653,3.268505,-0.946000,2.411150,1.126304,0.375423
19.699882,18.978172,7.159684,3.174414,-0.937532,2.422901,1.108839,0.361712
19.799882,18.878216,7.161089,3.080642,-0.939662,2.419931,1.094662,0.340914
19.899881,18.778836,7.171874,2.986122,-0.952464,2.402282,1.099665,0.419411
19.999881,18.680935,7.192070,2.889810,-0.975356,2.371568,1.124640,0.507862
20.099880,18.585461,7.221682,2.792275,-0.954850,2.399030,1.124859,0.569487
