# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.2125
# raceline_length_m: 31.3272
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
18.416001;2.929278;2.463119;1.690330;-0.021643;5.831111;3.066618;0.667815;0.341556
18.516088;2.829892;2.451295;1.688075;-0.023408;5.883512;3.024395;0.673880;0.345275
18.616175;2.730479;2.439703;1.685644;-0.025174;5.934738;2.984464;0.680393;0.349761
18.716262;2.631037;2.428361;1.683054;-0.026063;5.984858;2.947093;0.687416;0.353994
18.816349;2.531565;2.417278;1.680465;-0.025681;6.033942;2.911289;0.702065;0.355902
18.916436;2.432066;2.406451;1.677913;-0.025300;6.082041;2.876228;0.716982;0.357280
19.016523;2.332539;2.395876;1.675400;-0.024919;6.129190;2.841882;0.732227;0.358408
19.116610;2.232986;2.385549;1.672925;-0.024539;6.175422;2.808226;0.748556;0.362033
19.216697;2.133409;2.375467;1.670488;-0.024159;6.220770;2.775236;0.765143;0.365692
19.316784;2.033807;2.365625;1.668089;-0.023778;6.265262;2.742890;0.781214;0.369111
19.416871;1.934182;2.356021;1.665728;-0.023398;6.308927;2.711165;0.789101;0.376503
19.516958;1.834534;2.346649;1.663406;-0.023018;6.351792;2.680042;0.797226;0.383859
19.617045;1.734866;2.337508;1.661121;-0.022638;6.393883;2.649500;0.804819;0.390956
19.717132;1.635177;2.328592;1.658874;-0.022259;6.435223;2.619521;0.801936;0.396746
19.817219;1.535468;2.319899;1.656665;-0.021879;6.475837;2.590086;0.799280;0.402315
19.917306;1.435741;2.311423;1.654494;-0.021500;6.515745;2.561179;0.796642;0.408230
20.017393;1.335995;2.303163;1.652362;-0.021120;6.554968;2.532784;0.786593;0.418016
20.117480;1.236232;2.295113;1.650267;-0.020741;6.593528;2.504884;0.776767;0.427590
20.217566;1.136453;2.287270;1.648210;-0.020362;6.631442;2.477464;0.767158;0.435138
20.317653;1.036658;2.279631;1.646191;-0.019983;6.668729;2.450511;0.762577;0.436057
20.417740;0.936848;2.272191;1.644210;-0.019604;6.705406;2.424010;0.758245;0.436779
20.517827;0.837024;2.264948;1.642267;-0.019225;6.741491;2.397949;0.754115;0.434785
20.617914;0.737185;2.257896;1.640361;-0.018846;6.776998;2.372314;0.751960;0.426514
20.718001;0.637334;2.251032;1.638494;-0.018467;6.811944;2.347094;0.750041;0.418051
20.818088;0.537470;2.244354;1.636665;-0.018088;6.846342;2.322276;0.748311;0.411425
20.918175;0.437594;2.237856;1.634873;-0.017709;6.880208;2.297851;0.736295;0.408762
21.018262;0.337707;2.231535;1.633120;-0.017331;6.913554;2.273806;0.724284;0.405922
21.118349;0.237809;2.225387;1.631404;-0.016952;6.946394;2.250132;0.712311;0.404101
21.218436;0.137901;2.219409;1.629726;-0.016574;6.978740;2.226818;0.694150;0.404413
21.318523;0.037983;2.213596;1.628087;-0.016195;7.010603;2.203856;0.676172;0.404561
21.418610;-0.061944;2.207946;1.626485;-0.015817;7.041996;2.181235;0.659577;0.404721
21.518697;-0.161880;2.202453;1.624921;-0.015438;7.072930;2.158948;0.655795;0.405076
21.618784;-0.261825;2.197115;1.623394;-0.015059;7.103415;2.136985;0.652171;0.405277
21.718871;-0.361777;2.191928;1.621906;-0.014681;7.133461;2.115337;0.651028;0.405498
21.818958;-0.461737;2.186888;1.620456;-0.014304;7.163080;2.093997;0.662233;0.405976
21.919045;-0.561704;2.181990;1.619043;-0.013926;7.192279;2.072957;0.673583;0.406310
22.019132;-0.661678;2.177233;1.617668;-0.013547;7.221068;2.052212;0.684883;0.403927
22.119219;-0.761658;2.172610;1.616331;-0.013167;7.249457;2.031756;0.695748;0.393355
22.219306;-0.861644;2.168120;1.615032;-0.012786;7.277453;2.011578;0.706747;0.382648
22.319393;-0.961636;2.163757;1.613772;-0.012409;7.305066;1.991668;0.713354;0.371861
22.419480;-1.061633;2.159518;1.612548;-0.012040;7.332303;1.972011;0.712067;0.361176
22.519567;-1.161636;2.155400;1.611362;-0.011671;7.359172;1.952615;0.710901;0.350366
22.619654;-1.261643;2.151399;1.610212;-0.011290;7.385681;1.933491;0.708897;0.342419
22.719741;-1.361654;2.147511;1.609103;-0.010876;7.411836;1.914656;0.705846;0.351801
22.819828;-1.461670;2.143732;1.608035;-0.010462;7.437646;1.896060;0.702906;0.361075
22.919914;-1.561689;2.140057;1.607008;-0.010095;7.463117;1.877641;0.704542;0.369436
23.020001;-1.661712;2.136484;1.606010;-0.009851;7.488256;1.859309;0.710490;0.371206
23.120088;-1.761739;2.133009;1.605036;-0.009607;7.513066;1.841213;0.716537;0.372877
23.220175;-1.861769;2.129630;1.604089;-0.009193;7.537554;0.346088;0.725340;0.374031
23.320262;-1.961802;2.126343;1.603213;-0.008314;7.542148;-6.984005;0.736287;0.371386
23.420349;-2.061837;2.123140;1.602425;-0.007435;7.448892;-6.987833;0.747312;0.368656
23.520436;-2.161875;2.120010;1.601720;-0.006891;7.354400;-6.988830;0.753616;0.366591
23.620523;-2.261916;2.116951;1.601010;-0.007308;7.258665;-6.988154;0.756744;0.369773
23.720610;-2.361958;2.113965;1.600257;-0.007726;7.161660;-6.988521;0.759947;0.372882
23.820697;-2.462003;2.111056;1.599467;-0.007813;7.063318;-6.989139;0.757712;0.374428
23.920784;-2.562050;2.108224;1.598731;-0.006900;6.963578;-6.991999;0.751791;0.368000
24.020871;-2.662098;2.105462;1.598086;-0.005987;6.862346;-6.994320;0.745944;0.361500
24.120958;-2.762149;2.102759;1.597535;-0.004902;6.759565;-6.996416;0.749231;0.355188
24.221045;-2.862201;2.100105;1.597126;-0.003269;6.655165;-6.998503;0.759649;0.349661
24.321132;-2.962253;2.097484;1.596880;-0.001636;6.549069;-6.999648;0.770088;0.344098
24.421219;-3.062306;2.094879;1.596817;0.001592;6.441207;-6.987279;0.778134;0.341502
24.521306;-3.162359;2.092253;1.597405;0.010167;6.331704;-6.959558;0.783935;0.345379
24.621393;-3.262409;2.089524;1.598852;0.018742;6.220720;-6.919900;0.789596;0.349370
24.721480;-3.362453;2.086609;1.601156;0.027287;6.108369;-6.871900;0.790836;0.354117
24.821567;-3.462489;2.083420;1.604310;0.035727;5.994714;-6.817681;0.786828;0.359990
24.921654;-3.562513;2.079873;1.608308;0.044167;5.879786;-6.755100;0.782500;0.366247
25.021741;-3.662521;2.075885;1.613156;0.053089;5.763652;-6.671227;0.777525;0.365634
25.121828;-3.762505;2.071363;1.619006;0.063820;5.646616;-6.584015;0.771637;0.357506
25.221915;-3.862459;2.066202;1.625931;0.074555;5.528682;-6.495323;0.765190;0.350009
25.322002;-3.962371;2.060296;1.633931;0.085380;5.409818;-6.404069;0.761165;0.345178
25.422089;-4.062229;2.053536;1.643037;0.096572;5.290010;-6.316978;0.766437;0.342840
25.522176;-4.162017;2.045811;1.653263;0.107773;5.169111;-6.210336;0.770763;0.341495
25.622262;-4.261716;2.037010;1.664628;0.120879;5.047432;-5.992121;0.773881;0.350826
25.722349;-4.361300;2.026995;1.677785;0.142040;4.927180;-5.770280;0.771803;0.367873
25.822436;-4.460731;2.015565;1.693062;0.163236;4.808538;-5.546421;0.768505;0.386636
25.922523;-4.559962;2.002512;1.710463;0.184701;4.691673;-5.304641;0.763846;0.401650
26.022610;-4.658934;1.987626;1.730089;0.207509;4.577110;-5.069489;0.759113;0.416495
26.122697;-4.757575;1.970687;1.752005;0.230430;4.464881;-4.843011;0.753199;0.433839
26.222784;-4.855799;1.951479;1.776217;0.253568;4.354965;-4.607562;0.745493;0.450353
26.322871;-4.953503;1.929782;1.802811;0.277913;4.247753;-4.383794;0.737636;0.469475
26.422958;-5.050566;1.905377;1.831858;0.302540;4.143173;-4.185301;0.731951;0.492845
26.523045;-5.146844;1.878044;1.863373;0.326995;4.040804;-4.035286;0.724028;0.525537
