# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 10.8188
# raceline_length_m: 46.9908
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
29.275437;2.751801;3.519974;1.663406;-0.015345;6.351792;2.680042;1.195839;0.575789
29.425567;2.602299;3.506262;1.661121;-0.015092;6.393883;2.649500;1.207228;0.586434
29.575698;2.452765;3.492888;1.658874;-0.014839;6.435223;2.619521;1.202904;0.595119
29.725829;2.303202;3.479849;1.656665;-0.014586;6.475837;2.590086;1.198920;0.603472
29.875959;2.153611;3.467135;1.654494;-0.014333;6.515745;2.561179;1.194963;0.612345
30.026089;2.003992;3.454745;1.652362;-0.014080;6.554968;2.532784;1.179890;0.627024
30.176220;1.854348;3.442670;1.650267;-0.013827;6.593528;2.504884;1.165150;0.641385
30.326349;1.704679;3.430905;1.648210;-0.013575;6.631442;2.477464;1.150737;0.652707
30.476479;1.554987;3.419447;1.646191;-0.013322;6.668729;2.450511;1.143865;0.654085
30.626610;1.405272;3.408286;1.644210;-0.013069;6.705406;2.424010;1.137367;0.655168
30.776741;1.255536;3.397422;1.642267;-0.012817;6.741491;2.397949;1.131172;0.652177
30.926871;1.105777;3.386844;1.640361;-0.012564;6.776998;2.372314;1.127940;0.639771
31.077002;0.956001;3.376548;1.638494;-0.012311;6.811944;2.347094;1.125061;0.627077
31.227132;0.806205;3.366531;1.636665;-0.012059;6.846342;2.322276;1.122466;0.617138
31.377263;0.656391;3.356784;1.634873;-0.011806;6.880208;2.297851;1.104442;0.613143
31.527393;0.506560;3.347303;1.633120;-0.011554;6.913554;2.273806;1.086426;0.608883
31.677523;0.356714;3.338081;1.631404;-0.011301;6.946394;2.250132;1.068466;0.606151
31.827654;0.206851;3.329114;1.629726;-0.011049;6.978740;2.226818;1.041225;0.606620
31.977784;0.056975;3.320394;1.628087;-0.010797;7.010603;2.203856;1.014258;0.606842
32.127915;-0.092916;3.311919;1.626485;-0.010545;7.041996;2.181235;0.989365;0.607082
32.278045;-0.242820;3.303680;1.624921;-0.010292;7.072930;2.158948;0.983693;0.607614
32.428176;-0.392737;3.295673;1.623394;-0.010039;7.103415;2.136985;0.978256;0.607916
32.578306;-0.542666;3.287892;1.621906;-0.009787;7.133461;2.115337;0.976542;0.608247
32.728437;-0.692605;3.280332;1.620456;-0.009536;7.163080;2.093997;0.993349;0.608964
32.878568;-0.842556;3.272985;1.619043;-0.009284;7.192279;2.072957;1.010375;0.609465
33.028698;-0.992517;3.265850;1.617668;-0.009031;7.221068;2.052212;1.027324;0.605890
33.178829;-1.142487;3.258915;1.616331;-0.008778;7.249457;2.031756;1.043622;0.590032
33.328959;-1.292466;3.252180;1.615032;-0.008524;7.277453;2.011578;1.060121;0.573972
33.479090;-1.442454;3.245635;1.613772;-0.008273;7.305066;1.991668;1.070031;0.557791
33.629220;-1.592450;3.239277;1.612548;-0.008027;7.332303;1.972011;1.068100;0.541764
33.779350;-1.742454;3.233100;1.611362;-0.007781;7.359172;1.952615;1.066352;0.525549
33.929481;-1.892464;3.227099;1.610212;-0.007527;7.385681;1.933491;1.063346;0.513628
34.079611;-2.042481;3.221267;1.609103;-0.007251;7.411836;1.914656;1.058769;0.527701
34.229742;-2.192505;3.215598;1.608035;-0.006975;7.437646;1.896060;1.054359;0.541612
34.379871;-2.342534;3.210085;1.607008;-0.006730;7.463117;1.877641;1.056813;0.554154
34.530001;-2.492568;3.204726;1.606010;-0.006567;7.488256;1.859309;1.065735;0.556809
34.680132;-2.642608;3.199514;1.605036;-0.006405;7.513066;1.841213;1.074806;0.559316
34.830263;-2.792654;3.194445;1.604089;-0.006129;7.537554;0.346088;1.088010;0.561047
34.980393;-2.942703;3.189514;1.603213;-0.005543;7.542148;-6.984005;1.104431;0.557079
35.130524;-3.092755;3.184710;1.602425;-0.004957;7.448892;-6.987833;1.120968;0.552984
35.280654;-3.242813;3.180015;1.601720;-0.004594;7.354400;-6.988830;1.130424;0.549886
35.430785;-3.392874;3.175426;1.601010;-0.004872;7.258665;-6.988154;1.135116;0.554660
35.580915;-3.542937;3.170947;1.600257;-0.005151;7.161660;-6.988521;1.139921;0.559323
35.731046;-3.693005;3.166584;1.599467;-0.005209;7.063318;-6.989139;1.136568;0.561642
35.881176;-3.843075;3.162336;1.598731;-0.004600;6.963578;-6.991999;1.127687;0.552000
36.031306;-3.993147;3.158193;1.598086;-0.003991;6.862346;-6.994320;1.118916;0.542250
36.181437;-4.143223;3.154138;1.597535;-0.003268;6.759565;-6.996416;1.123846;0.532782
36.331567;-4.293302;3.150158;1.597126;-0.002179;6.655165;-6.998503;1.139474;0.524491
