# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.3176
# raceline_length_m: 31.3402
# generated: 2026-07-31 20:28:25
# x_m;y_m;vx_mps;trac_dir;s_m;dist_left_m;dist_right_m
-6.595794;0.537941;3.660850;-1.102103;28.937149;0.542129;0.518975
-6.548629;0.449625;3.566127;-1.058076;29.037278;0.537936;0.514363
-6.497524;0.363531;3.471055;-1.011727;29.137406;0.530371;0.515313
-6.442383;0.279965;3.397695;-0.962908;29.237535;0.519292;0.548604
-6.383261;0.199166;3.470607;-0.916275;29.337663;0.513423;0.590375
-6.320666;0.121024;3.421834;-0.875548;29.437792;0.506754;0.711781
-6.255162;0.045301;3.259024;-0.840671;29.537920;0.496657;0.860787
-6.187013;-0.028049;3.098702;-0.801547;29.638049;0.483860;0.946703
-6.115612;-0.098230;2.957795;-0.749885;29.738177;0.471348;1.008446
-6.040264;-0.164147;2.837414;-0.685482;29.838306;0.456754;1.088856
-5.960665;-0.224859;2.928645;-0.618741;29.938434;0.437102;1.139895
-5.877361;-0.280385;3.022666;-0.558091;30.038563;0.410908;1.116821
-5.790988;-0.331011;3.119214;-0.503137;30.138692;0.376686;1.104189
-5.702031;-0.376948;3.213673;-0.450001;30.238820;0.349339;1.100297
-5.610734;-0.418033;3.211011;-0.395500;30.338949;0.350340;1.059035
-5.517308;-0.454015;3.170479;-0.339502;30.439077;0.545032;0.957423
-5.422027;-0.484754;3.250092;-0.285504;30.539206;0.568564;0.871751
-5.325290;-0.510557;3.335195;-0.236672;30.639334;0.588656;0.805888
-5.227461;-0.531855;3.424958;-0.192883;30.739463;0.605688;0.775996
-5.128809;-0.548942;3.482002;-0.149487;30.839591;0.625823;0.752401
-5.029485;-0.561539;3.375174;-0.102148;30.939720;0.642316;0.734691
-4.929662;-0.569218;3.269416;-0.050703;31.039848;0.654582;0.722264
-4.829578;-0.571858;3.346006;-0.004396;31.139977;0.663726;0.716917
-4.729462;-0.570570;3.450891;0.027775;31.240106;0.676946;0.712403
